"Organ","Cell.Type","Cell.Type.ID","Found.At.Annotation.Level","Num.Cells"
"pancreas","acinar","CL:0002064",1,2824
"pancreas","activated_stellate","CL:0002410",1,1420
"pancreas","alpha","CL:0000171",1,11135
"pancreas","beta","CL:0000169",1,11816
"pancreas","cycling","CL:0008024",1,55
"pancreas","delta","CL:0000173",1,2064
"pancreas","ductal","CL:0002079",1,3304
"pancreas","endothelial","CL:0000115",1,740
"pancreas","epsilon","CL:0005019",1,50
"pancreas","gamma","CL:0002275",1,1190
"pancreas","immune","CL:0000738",1,209
"pancreas","quiescent_stellate","CL:0002410",1,419
"pancreas","schwann","CL:0002573",1,63
