"Organ","Cell.Types","Num.Cells"
"pbmc","ASDC_mDC",8
"pbmc","ASDC_pDC",8
"pbmc","B intermediate kappa",301
"pbmc","B intermediate lambda",598
"pbmc","B memory kappa",304
"pbmc","B memory lambda",293
"pbmc","B naive kappa",570
"pbmc","B naive lambda",333
"pbmc","CD14 Mono",3673
"pbmc","CD16 Mono",891
"pbmc","CD4 CTL",296
"pbmc","CD4 Naive",1403
"pbmc","CD4 Proliferating",57
"pbmc","CD4 TCM_1",8141
"pbmc","CD4 TCM_2",593
"pbmc","CD4 TCM_3",6155
"pbmc","CD4 TEM_1",227
"pbmc","CD4 TEM_2",66
"pbmc","CD4 TEM_3",347
"pbmc","CD4 TEM_4",63
"pbmc","CD8 Naive",981
"pbmc","CD8 Naive_2",167
"pbmc","CD8 Proliferating",31
"pbmc","CD8 TCM_1",929
"pbmc","CD8 TCM_2",1322
"pbmc","CD8 TCM_3",632
"pbmc","CD8 TEM_1",299
"pbmc","CD8 TEM_2",335
"pbmc","CD8 TEM_3",290
"pbmc","CD8 TEM_4",285
"pbmc","CD8 TEM_5",283
"pbmc","CD8 TEM_6",304
"pbmc","cDC1",150
"pbmc","cDC2_1",173
"pbmc","cDC2_2",299
"pbmc","dnT_1",63
"pbmc","dnT_2",118
"pbmc","gdT_1",301
"pbmc","gdT_2",196
"pbmc","gdT_3",231
"pbmc","gdT_4",107
"pbmc","MAIT",600
"pbmc","NK Proliferating",214
"pbmc","NK_1",569
"pbmc","NK_2",657
"pbmc","NK_3",190
"pbmc","NK_4",130
"pbmc","NK_CD56bright",291
"pbmc","pDC",284
"pbmc","Plasma",262
"pbmc","Plasmablast",37
"pbmc","Treg Memory",160
"pbmc","Treg Naive",138
"pbmc","ASDC",16
"pbmc","B intermediate",899
"pbmc","B memory",597
"pbmc","B naive",903
"pbmc","CD4 TCM",14889
"pbmc","CD4 TEM",703
"pbmc","CD8 TCM",2883
"pbmc","CD8 TEM",1796
"pbmc","cDC2",472
"pbmc","dnT",181
"pbmc","gdT",835
"pbmc","NK",1546
"pbmc","Treg",298
"pbmc","B",2698
"pbmc","CD4 T",17646
"pbmc","CD8 T",5858
"pbmc","DC",922
"pbmc","Mono",4564
"pbmc","other T",1616
