"pbmc cell types as anatomical structures from Azimuth reference data",,,,,,,,,
,,,,,,,,,
"Author Name(s):","Azimuth & MC-IU",,,,,,,,
"Author ORCID(s):",,,,,,,,,
"Reviewer(s):",,,,,,,,,
"General Publication(s):",,,,,,,,,
"Data DOI:",,,,,,,,,
"Date:","10/30/21",,,,,,,,
"Version Number:","v1.0",,,,,,,,
,,,,,,,,,
"AS/1","AS/1/LABEL","AS/1/ID","AS/2","AS/2/LABEL","AS/2/ID","AS/3","AS/3/LABEL","AS/3/ID","AS/3/COUNT"
"DC","dendritic cell","CL:0000451","ASDC","dendritic cell","CL:0000451","ASDC_mDC","myeloid dendritic cell","CL:0000782",8
"DC","dendritic cell","CL:0000451","ASDC","dendritic cell","CL:0000451","ASDC_pDC","plasmacytoid dendritic cell","CL:0000784",8
"B","mature B cell","CL:0000785","B intermediate","mature B cell","CL:0000785","B intermediate kappa","mature B cell","CL:0000785",301
"B","mature B cell","CL:0000785","B intermediate","mature B cell","CL:0000785","B intermediate lambda","mature B cell","CL:0000785",598
"B","mature B cell","CL:0000785","B memory","memory B cell","CL:0000787","B memory kappa","memory B cell","CL:0000787",304
"B","mature B cell","CL:0000785","B memory","memory B cell","CL:0000787","B memory lambda","memory B cell","CL:0000787",293
"B","mature B cell","CL:0000785","B naive","naive B cell","CL:0000788","B naive kappa","naive B cell","CL:0000788",570
"B","mature B cell","CL:0000785","B naive","naive B cell","CL:0000788","B naive lambda","naive B cell","CL:0000788",333
"Mono","monocyte","CL:0000576","CD14 Mono","CD14-positive, CD16-negative classical monocyte","CL:0002057","CD14 Mono","CD14-positive, CD16-negative classical monocyte","CL:0002057",3673
"Mono","monocyte","CL:0000576","CD16 Mono","CD14-low, CD16-positive monocyte","CL:0002396","CD16 Mono","CD14-low, CD16-positive monocyte","CL:0002396",891
"CD4 T","CD4-positive, alpha-beta T cell","CL:0000624","CD4 CTL","CD4-positive, alpha-beta cytotoxic T cell","CL:0000934","CD4 CTL","CD4-positive, alpha-beta cytotoxic T cell","CL:0000934",296
"CD4 T","CD4-positive, alpha-beta T cell","CL:0000624","CD4 Naive","naive thymus-derived CD4-positive, alpha-beta T cell","CL:0000895","CD4 Naive","naive thymus-derived CD4-positive, alpha-beta T cell","CL:0000895",1403
"CD4 T","CD4-positive, alpha-beta T cell","CL:0000624","CD4 Proliferating","activated CD4-positive, alpha-beta T cell","CL:0000896","CD4 Proliferating","activated CD4-positive, alpha-beta T cell","CL:0000896",57
"CD4 T","CD4-positive, alpha-beta T cell","CL:0000624","CD4 TCM","CD4-positive, alpha-beta memory T cell","CL:0000897","CD4 TCM_1","CD4-positive, alpha-beta memory T cell","CL:0000897",8141
"CD4 T","CD4-positive, alpha-beta T cell","CL:0000624","CD4 TCM","CD4-positive, alpha-beta memory T cell","CL:0000897","CD4 TCM_2","CD4-positive, alpha-beta memory T cell","CL:0000897",593
"CD4 T","CD4-positive, alpha-beta T cell","CL:0000624","CD4 TCM","CD4-positive, alpha-beta memory T cell","CL:0000897","CD4 TCM_3","CD4-positive, alpha-beta memory T cell","CL:0000897",6155
"CD4 T","CD4-positive, alpha-beta T cell","CL:0000624","CD4 TEM","effector CD4-positive, alpha-beta T cell","CL:0001044","CD4 TEM_1","effector CD4-positive, alpha-beta T cell","CL:0001044",227
"CD4 T","CD4-positive, alpha-beta T cell","CL:0000624","CD4 TEM","effector CD4-positive, alpha-beta T cell","CL:0001044","CD4 TEM_2","effector CD4-positive, alpha-beta T cell","CL:0001044",66
"CD4 T","CD4-positive, alpha-beta T cell","CL:0000624","CD4 TEM","effector CD4-positive, alpha-beta T cell","CL:0001044","CD4 TEM_3","effector CD4-positive, alpha-beta T cell","CL:0001044",347
"CD4 T","CD4-positive, alpha-beta T cell","CL:0000624","CD4 TEM","effector CD4-positive, alpha-beta T cell","CL:0001044","CD4 TEM_4","effector CD4-positive, alpha-beta T cell","CL:0001044",63
"CD8 T","CD8-positive, alpha-beta T cell","CL:0000625","CD8 Naive","naive thymus-derived CD8-positive, alpha-beta T cell","CL:0000900","CD8 Naive","naive thymus-derived CD8-positive, alpha-beta T cell","CL:0000900",981
"CD8 T","CD8-positive, alpha-beta T cell","CL:0000625","CD8 Naive","naive thymus-derived CD8-positive, alpha-beta T cell","CL:0000900","CD8 Naive_2","naive thymus-derived CD8-positive, alpha-beta T cell","CL:0000900",167
"CD8 T","CD8-positive, alpha-beta T cell","CL:0000625","CD8 Proliferating","activated CD8-positive, alpha-beta T cell","CL:0000906","CD8 Proliferating","activated CD8-positive, alpha-beta T cell","CL:0000906",31
"CD8 T","CD8-positive, alpha-beta T cell","CL:0000625","CD8 TCM","CD8-positive, alpha-beta memory T cell","CL:0000909","CD8 TCM_1","CD8-positive, alpha-beta memory T cell","CL:0000909",929
"CD8 T","CD8-positive, alpha-beta T cell","CL:0000625","CD8 TCM","CD8-positive, alpha-beta memory T cell","CL:0000909","CD8 TCM_2","CD8-positive, alpha-beta memory T cell","CL:0000909",1322
"CD8 T","CD8-positive, alpha-beta T cell","CL:0000625","CD8 TCM","CD8-positive, alpha-beta memory T cell","CL:0000909","CD8 TCM_3","CD8-positive, alpha-beta memory T cell","CL:0000909",632
"CD8 T","CD8-positive, alpha-beta T cell","CL:0000625","CD8 TEM","effector CD8-positive, alpha-beta T cell","CL:0001050","CD8 TEM_1","effector CD8-positive, alpha-beta T cell","CL:0001050",299
"CD8 T","CD8-positive, alpha-beta T cell","CL:0000625","CD8 TEM","effector CD8-positive, alpha-beta T cell","CL:0001050","CD8 TEM_2","effector CD8-positive, alpha-beta T cell","CL:0001050",335
"CD8 T","CD8-positive, alpha-beta T cell","CL:0000625","CD8 TEM","effector CD8-positive, alpha-beta T cell","CL:0001050","CD8 TEM_3","effector CD8-positive, alpha-beta T cell","CL:0001050",290
"CD8 T","CD8-positive, alpha-beta T cell","CL:0000625","CD8 TEM","effector CD8-positive, alpha-beta T cell","CL:0001050","CD8 TEM_4","effector CD8-positive, alpha-beta T cell","CL:0001050",285
"CD8 T","CD8-positive, alpha-beta T cell","CL:0000625","CD8 TEM","effector CD8-positive, alpha-beta T cell","CL:0001050","CD8 TEM_5","effector CD8-positive, alpha-beta T cell","CL:0001050",283
"CD8 T","CD8-positive, alpha-beta T cell","CL:0000625","CD8 TEM","effector CD8-positive, alpha-beta T cell","CL:0001050","CD8 TEM_6","effector CD8-positive, alpha-beta T cell","CL:0001050",304
"DC","dendritic cell","CL:0000451","cDC1","CD141-positive myeloid dendritic cell","CL:0002394","cDC1","CD141-positive myeloid dendritic cell","CL:0002394",150
"DC","dendritic cell","CL:0000451","cDC2","CD1c-positive myeloid dendritic cell","CL:0002399","cDC2_1","CD1c-positive myeloid dendritic cell","CL:0002399",173
"DC","dendritic cell","CL:0000451","cDC2","CD1c-positive myeloid dendritic cell","CL:0002399","cDC2_2","CD1c-positive myeloid dendritic cell","CL:0002399",299
"other T","mature T cell","CL:0002419","dnT","CD4-negative, CD8-negative, alpha-beta intraepithelial T cell","CL:0000935","dnT_1","CD4-negative, CD8-negative, alpha-beta intraepithelial T cell","CL:0000935",63
"other T","mature T cell","CL:0002419","dnT","CD4-negative, CD8-negative, alpha-beta intraepithelial T cell","CL:0000935","dnT_2","CD4-negative, CD8-negative, alpha-beta intraepithelial T cell","CL:0000935",118
"other",,,"Eryth","erythroid lineage cell","CL:0000764","Eryth","erythroid lineage cell","CL:0000764",81
"other T","mature T cell","CL:0002419","gdT","gamma-delta T cell","CL:0000798","gdT_1","gamma-delta T cell","CL:0000798",301
"other T","mature T cell","CL:0002419","gdT","gamma-delta T cell","CL:0000798","gdT_2","gamma-delta T cell","CL:0000798",196
"other T","mature T cell","CL:0002419","gdT","gamma-delta T cell","CL:0000798","gdT_3","gamma-delta T cell","CL:0000798",231
"other T","mature T cell","CL:0002419","gdT","gamma-delta T cell","CL:0000798","gdT_4","gamma-delta T cell","CL:0000798",107
"other",,,"HSPC","hematopoietic precursor cell","CL:0008001","HSPC","hematopoietic precursor cell","CL:0008001",300
"other",,,"ILC","innate lymphoid cell","CL:0001065","ILC","innate lymphoid cell","CL:0001065",131
"other T","mature T cell","CL:0002419","MAIT","mucosal invariant T cell","CL:0000940","MAIT","mucosal invariant T cell","CL:0000940",600
"NK","natural killer cell","CL:0000623","NK Proliferating","natural killer cell","CL:0000623","NK Proliferating","natural killer cell","CL:0000623",214
"NK","natural killer cell","CL:0000623","NK","CD16-positive, CD56-dim natural killer cell, human","CL:0000939","NK_1","CD16-positive, CD56-dim natural killer cell, human","CL:0000939",569
"NK","natural killer cell","CL:0000623","NK","CD16-positive, CD56-dim natural killer cell, human","CL:0000939","NK_2","CD16-positive, CD56-dim natural killer cell, human","CL:0000939",657
"NK","natural killer cell","CL:0000623","NK","CD16-positive, CD56-dim natural killer cell, human","CL:0000939","NK_3","CD16-positive, CD56-dim natural killer cell, human","CL:0000939",190
"NK","natural killer cell","CL:0000623","NK","CD16-positive, CD56-dim natural killer cell, human","CL:0000939","NK_4","CD16-positive, CD56-dim natural killer cell, human","CL:0000939",130
"NK","natural killer cell","CL:0000623","NK_CD56bright","CD16-negative, CD56-bright natural killer cell, human","CL:0000938","NK_CD56bright","CD16-negative, CD56-bright natural killer cell, human","CL:0000938",291
"DC","dendritic cell","CL:0000451","pDC","plasmacytoid dendritic cell","CL:0000784","pDC","plasmacytoid dendritic cell","CL:0000784",284
"B","mature B cell","CL:0000785","Plasmablast","plasmablast","CL:0000980","Plasma","plasma cell","CL:0000786",262
"B","mature B cell","CL:0000785","Plasmablast","plasmablast","CL:0000980","Plasmablast","plasmablast","CL:0000980",37
"other",,,"Platelet","platelet","CL:0000233","Platelet","platelet","CL:0000233",566
"CD4 T","CD4-positive, alpha-beta T cell","CL:0000624","Treg","regulatory T cell","CL:0000815","Treg Memory","regulatory T cell","CL:0000815",160
"CD4 T","CD4-positive, alpha-beta T cell","CL:0000624","Treg","regulatory T cell","CL:0000815","Treg Naive","regulatory T cell","CL:0000815",138
